row_id,split,transcript_id,text_clean,subcluster_id,ax3_subcluster_name,ax3_subcluster_status
creativity_0047::8,creatives,creativity_0047,"I think it can simplify the aspects of the work that may seem tedious or boring, and take away the creative spark. Stuff like organising outlines, grammar editing, research. Of course, one should always back up AI research with additional insights, including from experts in fields, but it still saves time and effort. It can be a beneficial helper, which promotes critical thinking and gives an author a more holistic view of what it means to be an author in this day and age. It makes one more aware of everything external outside of pure creaitivty and passion.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0000::11,workforce,work_0000,I've thought about it a bit but I prefer to work with AI and use it to better myself instead of competing.,4,Protection contre la dépendance et l'érosion des capacités,core
work_0008::7,workforce,work_0008,"I think working with AI is more likely to help me improve my own skills. I work independently for most of the workday, and it's nice to have AI to bounce ideas around with and to collaborate with to generate the best possible version of a task. I don't think I would like to completely delegate tasks to AI because I worry that my competency with certain skills might decline over time due to lack of practice.",2,Reconfiguration stratégique des compétences,core
work_0014::13,workforce,work_0014,"I think it's very important. I think over the next few years people who don't want to/can't use AI in their work are going to get squeezed out of certain workplaces, because people who can successfully use AI will be able to automate a lot of their work, freeing up their time for higher level work and creative thinking so they will be the high flyers",4,Protection contre la dépendance et l'érosion des capacités,core
work_0020::8,workforce,work_0020,"My job as a [REDACTED] is largely physical, so I'm not worried about losing the major part of my job to AI. Where I can work with AI I'm keen to do so, as it frees up my time to do important conservation repairs etc. which I really enjoy",3,Jugement humain et responsabilité professionnelle,core
work_0022::11,workforce,work_0022,"I think I will be moving to use AI more in the future, especially as it keeps improving. I definitely see myself expanding into new areas and have actually really been enjoying AI in my spare time simply as a learning tool. It makes information extremely accessible, and is able to provide examples instantly.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0026::11,workforce,work_0026,"I think my relationship with AI at work will continue to evolve and flourish. I will continue to use it for more complex tasks, and it will help me achieve the goals and results I need.",1,Équilibre normatif dans l'usage de l'IA,core
work_0048::12,workforce,work_0048,I dont plan to use AI much more than I do currently - I think it has its place and it's interesting to learn how it works. It has been useful for answering questions and providing ideas in both my personal life and my career but I dont think I will use it for anything other than factual questions etc in my next career either,4,Protection contre la dépendance et l'érosion des capacités,core
work_0053::9,workforce,work_0053,I feel as if maintaining certain skills that AI can essentially automate is going to be really difficult and I have found I have to have a balance of using AI and not just so I don't lose out on being able to effectively think freely.,2,Reconfiguration stratégique des compétences,core
work_0059::10,workforce,work_0059,I envision using AI in lots of different ways to make my job easier and my time more efficiently,2,Reconfiguration stratégique des compétences,core
work_0066::13,workforce,work_0066,I can't really see AI taking over my job. My work is too varied and there is a lot of interpersonal information that must be applied.,3,Jugement humain et responsabilité professionnelle,core
work_0080::11,workforce,work_0080,"it's definitely something I consider. I want to maintain my skills anyway, because anyone who is genuinely a solid user of AI is using it as a partner, not a crutch. I need to still understand the research and tools that the AI is drawing from so that I know when to question, how something can be made better, and when AI misses altogether.",4,Protection contre la dépendance et l'érosion des capacités,core
work_0083::12,workforce,work_0083,I actively consider in so much as it frees me up to develop or hone my skills in other areas. I see opportunity in building my capability on how to utilise AI as a much more sensible thing to do rather than compete with it. To me it is no different as to how I rely on the expertise and experience of my team and my role is to pull out those strengths rather than compete with them,2,Reconfiguration stratégique des compétences,core
work_0100::14,workforce,work_0100,"It's not really something I actively consider, my work is creating AI. I'm not particularly scared of it taking over because I see all of its flaws",3,Jugement humain et responsabilité professionnelle,core
work_0106::11,workforce,work_0106,I will always maintain my skills and not solely rely on AI,2,Reconfiguration stratégique des compétences,core
work_0107::9,workforce,work_0107,not really if i'm being honest i'm not too concerned about AI taking over,3,Jugement humain et responsabilité professionnelle,core
work_0120::14,workforce,work_0120,"I try to stay knowledgeable in AI technology and capabilities. If and when it becomes part of my position, I will embrace AI and utilize my experiences and knowledge of AI to my advantage.",2,Reconfiguration stratégique des compétences,core
