split,transcript_id,has_min,has_use,discursive_gap,first_min_turn_id,first_use_turn_id,gap_distance
workforce,work_0000,False,False,False,,,
workforce,work_0001,False,False,False,,,
workforce,work_0002,True,False,False,5.0,,
workforce,work_0003,False,True,False,,7.0,
workforce,work_0004,False,False,False,,,
workforce,work_0005,True,True,True,10.0,8.0,-2.0
workforce,work_0006,True,True,True,11.0,3.0,-8.0
workforce,work_0007,False,False,False,,,
workforce,work_0008,False,True,False,,4.0,
workforce,work_0009,False,False,False,,,
workforce,work_0010,False,False,False,,,
workforce,work_0011,False,False,False,,,
workforce,work_0012,False,False,False,,,
workforce,work_0013,False,True,False,,11.0,
workforce,work_0014,False,False,False,,,
workforce,work_0015,False,False,False,,,
workforce,work_0016,False,False,False,,,
workforce,work_0017,False,False,False,,,
workforce,work_0018,False,False,False,,,
workforce,work_0019,False,False,False,,,
workforce,work_0020,False,False,False,,,
workforce,work_0021,False,False,False,,,
workforce,work_0022,False,False,False,,,
workforce,work_0023,False,False,False,,,
workforce,work_0024,False,False,False,,,
workforce,work_0025,False,False,False,,,
workforce,work_0026,False,False,False,,,
workforce,work_0027,False,False,False,,,
workforce,work_0028,True,False,False,6.0,,
workforce,work_0029,False,True,False,,8.0,
workforce,work_0030,False,False,False,,,
workforce,work_0031,False,False,False,,,
workforce,work_0032,True,True,True,4.0,5.0,1.0
workforce,work_0033,False,False,False,,,
workforce,work_0034,False,False,False,,,
workforce,work_0035,False,False,False,,,
workforce,work_0036,False,False,False,,,
workforce,work_0037,False,False,False,,,
workforce,work_0038,False,False,False,,,
workforce,work_0039,False,False,False,,,
workforce,work_0040,False,False,False,,,
workforce,work_0041,True,False,False,4.0,,
workforce,work_0042,False,False,False,,,
workforce,work_0043,True,True,True,5.0,2.0,-3.0
workforce,work_0044,False,True,False,,11.0,
workforce,work_0045,False,False,False,,,
workforce,work_0046,True,False,False,8.0,,
workforce,work_0047,True,False,False,2.0,,
workforce,work_0048,False,True,False,,4.0,
workforce,work_0049,True,False,False,9.0,,
workforce,work_0050,False,False,False,,,
workforce,work_0051,False,False,False,,,
workforce,work_0052,False,False,False,,,
workforce,work_0053,False,False,False,,,
workforce,work_0054,False,True,False,,3.0,
workforce,work_0055,True,False,False,11.0,,
workforce,work_0056,False,False,False,,,
workforce,work_0057,False,False,False,,,
workforce,work_0058,False,True,False,,2.0,
workforce,work_0059,False,True,False,,2.0,
workforce,work_0060,False,True,False,,3.0,
workforce,work_0061,False,False,False,,,
workforce,work_0062,False,False,False,,,
workforce,work_0063,False,False,False,,,
workforce,work_0064,False,False,False,,,
workforce,work_0065,False,False,False,,,
workforce,work_0066,False,False,False,,,
workforce,work_0067,False,False,False,,,
workforce,work_0068,False,False,False,,,
workforce,work_0069,False,True,False,,2.0,
workforce,work_0070,False,True,False,,3.0,
workforce,work_0071,False,False,False,,,
workforce,work_0072,False,False,False,,,
workforce,work_0073,False,False,False,,,
workforce,work_0074,False,False,False,,,
workforce,work_0075,True,True,True,13.0,3.0,-10.0
workforce,work_0076,False,False,False,,,
workforce,work_0077,False,False,False,,,
workforce,work_0078,True,True,True,4.0,3.0,-1.0
workforce,work_0079,False,False,False,,,
workforce,work_0080,False,True,False,,4.0,
workforce,work_0081,False,False,False,,,
workforce,work_0082,False,False,False,,,
workforce,work_0083,False,False,False,,,
workforce,work_0084,True,False,False,3.0,,
workforce,work_0085,False,False,False,,,
workforce,work_0086,False,False,False,,,
workforce,work_0087,False,False,False,,,
workforce,work_0088,False,True,False,,4.0,
workforce,work_0089,False,False,False,,,
workforce,work_0090,False,True,False,,2.0,
workforce,work_0091,False,True,False,,3.0,
workforce,work_0092,False,True,False,,2.0,
workforce,work_0093,False,False,False,,,
workforce,work_0094,False,True,False,,2.0,
workforce,work_0095,False,True,False,,5.0,
workforce,work_0096,True,True,True,7.0,2.0,-5.0
