umap_1,umap_2
6.442706,2.1281884
7.7008133,1.2796249
6.6816025,0.50107366
6.814649,2.3623087
8.1747,0.1394585
6.6727786,1.6344894
0.4031046,3.9299715
6.7107234,1.9740609
4.9864,1.0092368
7.134625,0.19648847
8.307106,-0.41203952
6.433947,2.4114459
5.298378,-0.05856102
8.132736,-1.3643281
4.1807814,0.53901285
8.005862,-1.3930472
4.3110394,0.604631
6.818454,2.124421
6.1751156,0.26364136
8.1303835,1.2238008
0.40847838,3.9986405
6.294891,2.6170635
6.1609664,1.7789474
8.729008,0.86482704
4.3850293,0.08020919
6.7062573,1.0808085
7.147501,0.27894038
4.982495,0.5102881
8.445102,-0.88940126
7.541325,1.9294958
4.335502,0.6348766
4.5392456,1.0776825
6.3716626,-0.0020414102
7.067021,0.12659141
7.581227,-1.1093613
7.78081,1.7142588
0.86966974,4.0589094
4.9832096,0.4497011
4.2438207,0.028463222
7.4892263,-0.9222965
0.25959682,3.6226184
0.9829315,3.732424
8.173377,0.5782885
4.8409777,1.1543756
5.6726246,0.08580855
8.732534,0.28864968
0.17464587,3.8687363
5.463794,0.64096135
0.07519402,3.8634918
9.075842,0.15216771
5.41772,0.6201406
7.6632023,0.50055116
7.136086,2.0714853
8.223998,-0.85042584
4.2579274,0.5495598
8.050028,-1.3195841
5.9487967,0.25599247
8.424153,0.37878892
4.966279,0.026729785
6.2332625,-0.034570485
7.0659337,1.7525152
5.9970407,2.236525
7.066329,1.0119325
7.519386,0.16353707
6.770065,-0.19558047
8.19161,-1.3138766
5.2687225,0.4205043
7.5346885,0.7125044
0.26072606,3.6520128
7.8463287,-0.94927746
7.9990306,-0.49533233
8.419954,-1.0919207
7.547771,0.27086264
6.28196,2.1750057
8.647525,0.5917045
7.688159,0.75120413
4.6709666,-0.1678057
6.0024924,1.9414196
8.605896,-0.14710645
0.7359058,3.8569572
7.1487336,1.271288
5.221873,0.8514957
4.0836077,0.82252496
7.5443535,-1.2542691
9.413339,0.3479441
8.542365,0.015676668
8.624045,-0.76403224
7.4348655,1.0778229
8.074146,1.1437789
0.28391147,4.160185
9.316273,0.059921384
0.13083489,3.8336449
6.8642106,1.3060126
-0.1446898,4.1244426
5.0569177,1.4718835
8.140321,0.57893324
5.9642844,2.3172631
5.348971,0.75860155
0.472946,4.2786884
4.632052,0.29188958
4.24191,1.129873
3.982559,0.5286875
6.950686,1.5556486
6.4555907,0.27058417
3.709132,0.40383723
8.783916,0.078026354
1.0132346,3.726707
8.783227,0.57347083
7.644363,1.5240587
6.5106473,0.2619028
9.205515,-0.19287306
7.924938,1.8910989
4.611098,0.68557054
9.679883,0.047482047
5.867132,0.020230753
4.87778,0.1479366
3.8760726,0.21677066
5.644287,-0.30641735
-0.045580547,4.0117526
0.35637403,3.711364
7.951861,-0.1970701
8.452235,-1.0720645
3.791865,0.18443325
9.632769,0.054273333
0.14633435,3.8882923
6.905555,2.5104136
4.3929176,1.3574914
6.795195,2.6042147
8.371068,1.6311914
8.393211,0.8613892
9.48895,0.2858458
7.071044,-0.65271807
7.9400764,1.2867874
8.559749,0.568666
8.96659,-0.2578932
6.736522,0.0011693408
3.7507582,0.6463021
7.2306943,2.1252162
8.039997,-0.8286416
8.46517,-0.32292533
6.5437846,2.693169
9.556116,0.4440921
3.7584155,0.684104
8.175969,1.5889528
0.5811484,3.6324887
8.93912,-0.54463553
7.64985,-1.3206877
